sys.exec.out.time {s},rkt.newton.lonx {degree},rkt.newton.latx {degree},rkt.newton.alt {m},rkt.newton.psivdx {degree},rkt.newton.thtvdx {degree},rkt.newton.dvbi {m/s},rkt.newton.IPos[0] {m},rkt.newton.IPos[1] {m},rkt.newton.IPos[2] {m},rkt.newton.IVel[0] {m/s},rkt.newton.IVel[1] {m/s},rkt.newton.IVel[2] {m/s},rkt.kinematics.alphax {degree},rkt.kinematics.betax {degree},rkt.env.rho {kg/m3},rkt.env.vmach {--},rkt.env.pdynmc {pa},rkt.propulsion.vmass {kg},rkt.propulsion.fmassr {kg},rkt.propulsion.thrust {N}
                   0,   120.8935051792126,   22.13891698558047,   100.0012179389596,   89.99752228599053,   86.62681585766455,   431.1432541690396,  -3034853.610415106,   5072175.582595862,   2388797.028118508,  -370.9209856025722,  -219.7761593481478,      0.753549774723,-1.935018371521713e-06,4.620950580999261e-08,   1.213282959053678,0.005883909721155929,   2.426565918107355,        14067.955555,         8888.855555,   222591.4970687259
                 0.1,   120.8935053384644,   22.13891698657208,   100.2312304442748,   89.39935561032546,   85.36762643040991,   431.2393463409452,  -3034890.720691633,   5072153.626314838,   2388797.114902316,  -371.2846324892955,  -219.3493351144811,  0.9821887240104407,   1.257439762113559,-0.04824916464967242,   1.213256269124425,0.007658836107972448,   4.111249616578346,        14059.066555,   8879.966554999999,   222592.1995431232
                 0.2,   120.8935055877639,   22.13891698955168,   100.5214212406427,   89.16740869293157,   84.58414262318566,   431.3363369827921,  -3034927.867359115,   5072131.712754047,   2388797.224568722,  -371.6488045989132,  -218.9217545890722,   1.211201706446152,   2.043931833685111,-0.07848518528434655,   1.213222464019377,0.009447890734770696,    6.25609123271407,        14050.177555,         8871.077555,   222593.0892825249
                 0.3,   120.8935059271598,   22.13891699451877,   100.8718896955252,   89.04436292780593,    84.0505654658551,   431.4342296491644,  -3034965.050470059,   5072109.841989118,   2388797.357155123,  -372.0135017490289,  -218.4934180562942,   1.440588584820151,   2.579128592281762,-0.09903403240733841,   1.213181623485571, 0.01124110199062201,   8.855907480855722,        14041.288555,   8862.188555000001,     222594.16418436
                 0.4,   120.8935063567006,   22.13891700147291,   101.2827351232991,   88.96821880861863,   83.66438234095585,   431.5330278900604,  -3035002.270076962,   5072088.014095626,   2388797.512698899,  -372.3787237531564,  -218.0643258064478,   1.670349218999382,   2.966272393661662, -0.1138827946631428,   1.213133736475923, 0.01303796827543672,   11.91280309117713,        14032.399555,         8853.299555,   222595.4245349839
                 0.5,    120.893506876431,   22.13891701041346,   101.7540568392724,   88.91655468058262,   83.37250503391576,   431.6327239506751,  -3035039.526231968,   5072066.229149366,   2388797.691237416,  -372.7444611253282,  -217.6344716459608,   1.900483320605058,   3.258760249421896, -0.1250910432128232,   1.213078792039534, 0.01483822920835345,    15.4288651080222,        14023.510555,         8844.410555,   222596.8706174512
                 0.6,   120.8935074863845,   22.13891702133944,   102.2859541801736,   88.87927299803484,   83.14457667094528,     431.73331687765,  -3035076.818986257,   5072044.487226755,   2388797.892808006,  -373.1107099711307,  -217.2038532938899,   2.130990685691116,   3.487087579391281, -0.1338337380098666,   1.213016779318507, 0.01664173739768005,   19.40616600613884,        14014.621555,   8835.521554999999,    222598.502711595
                 0.7,   120.8935081865945,   22.13891703424983,   102.8785264538601,   88.85115511135835,   82.96198068878074,   431.8348097722868,  -3035114.148390991,   5072022.788404183,    2388798.11744799,  -373.4774697298033,  -216.7724708073405,   2.361871158989199,   3.669942034667805, -0.1408302331153822,   1.212947687555632, 0.01844840405681911,   23.84676471064535,        14005.732555,         8826.632555,   222600.3210938211
                 0.8,    120.893508977093,   22.13891704914359,   103.5318729188293,   88.82923573563697,   82.81269215551757,   431.9372049976224,  -3035151.514497194,   5072001.132758079,    2388798.36519467,  -373.8447392340433,  -216.3403238259873,   2.593124573802188,   3.819382505262543, -0.1465443598936051,   1.212871506095756, 0.02025817260658095,   28.75270510296921,        13996.843555,   8817.743554999999,   222602.3260370682
                 0.9,   120.8935098579113,   22.13891706601964,   104.2460928196087,   88.81170456846151,   82.68859347651632,   432.0405050952425,  -3035188.917355795,   5071979.520364908,   2388798.636085334,  -374.2125174636719,  -215.9074120996739,   2.824750763314311,   3.943541844554509, -0.1512887323547151,   1.212788224384004, 0.02207100568363677,   34.12601615075656,        13987.954555,   8808.854554999998,   222604.5178108501
                   1,   120.8935108290791,   22.13891708487679,   105.0212853569537,    88.7973937967401,   82.58400643246975,   432.1447127784091,  -3035226.357017619,   5071957.951301157,   2388798.930157246,  -374.5808035400407,  -215.4737354847594,   3.056749560417613,   4.048102589915212, -0.1552816539591056,   1.212697831968137, 0.02388687792908987,   39.96871176346674,        13979.065555,   8799.965554999999,   222606.8966811911
                 1.1,   120.8935118906261,   22.13891710571393,   105.8575496887788,   88.78551614732297,   82.49483891771429,   432.2498310422193,  -3035263.833533411,   5071936.425643314,   2388799.247447661,  -374.9495968169559,  -215.0392940073922,   3.289120799201236,   4.137154304533323, -0.1586801540161837,   1.212600318499699, 0.02570577182943239,   46.28279073967823,        13970.176555,   8791.076554999998,   222609.4629105908
                 1.2,    120.893513042581,    22.1389171285299,   106.7549849385396,   88.77552143704393,   82.41806639244184,   432.3558632265726,  -3035301.346953877,   5071914.943467852,   2388799.587993816,  -375.3188969328164,  -214.6040878997173,   3.521864315830657,   4.213714394911868, -0.1616000436042223,   1.212495673733655, 0.02752767519096415,    53.0702367215136,        13961.287555,   8782.187554999997,   222612.2167580305
                 1.3,   120.8935142849731,   22.13891715332354,   107.7136901831254,   88.76701345950045,   82.35140423016257,   432.4628130616242,  -3035338.897329692,   5071893.504851214,   2388799.951832928,  -375.6887038483713,  -214.1681176260489,   3.754979949201112,   4.280057095170286, -0.1641285769555966,   1.212383887529755, 0.02935257954686548,   60.33301816006585,        13952.398555,   8773.298554999996,   222615.1584789338
