sys.exec.out.time {s},rkt.newton.lonx {degree},rkt.newton.latx {degree},rkt.newton.alt {m},rkt.newton._psivdx {degree},rkt.newton._thtvdx {degree},rkt.newton._dvbi {m/s},rkt.newton._SBII[0] {m},rkt.newton._SBII[1] {m},rkt.newton._SBII[2] {m},rkt.newton._VBII[0] {m/s},rkt.newton._VBII[1] {m/s},rkt.newton._VBII[2] {m/s},rkt.kinematics.alphax {degree},rkt.kinematics.betax {degree},rkt.env.rho {kg/m3},rkt.env.vmach {--},rkt.env.pdynmc {pa},rkt.propulsion.vmass {kg},rkt.propulsion.fmassr {kg},rkt.propulsion.thrust {N}
                 1.1,   120.8935118906261,   22.13891710571393,   105.8575496887788,   88.78551614732308,   82.49483891771389,   432.2498310422194,  -3035263.833533411,   5071936.425643314,   2388799.247447661,  -374.9495968169559,  -215.0392940073922,   3.289120799201238,   4.137154304533699, -0.1586801540161786,   1.212600318499699, 0.02570577182943243,   46.28279073967838,        13970.176555,   8791.076554999998,   222609.4629105908
                 1.2,    120.893513042581,    22.1389171285299,   106.7549849385396,   88.77552143704403,   82.41806639244146,   432.3558632265726,  -3035301.346953877,   5071914.943467852,   2388799.587993816,  -375.3188969328164,  -214.6040878997173,   3.521864315830659,   4.213714394912218, -0.1616000436042321,   1.212495673733763,  0.0275276751909639,   53.07023672151852,        13961.287555,   8782.187554999997,   222612.2167580277
                 1.3,   120.8935142849731,   22.13891715332354,   107.7136901831254,   88.76701345950056,   82.35140423016223,   432.4628130616242,  -3035338.897329692,   5071893.504851214,   2388799.951832928,  -375.6887038483714,  -214.1681176260489,   3.754979949201112,   4.280057095170596, -0.1641285769556003,   1.212383887529755, 0.02935257954686551,     60.333018160066,        13952.398555,   8773.298554999996,   222615.1584789338
                 1.4,   120.8935156178316,   22.13891718009369,    108.733764459379,   88.75969953869676,   82.29309370945174,   432.5706847050168,  -3035376.484711553,   5071872.109869783,   2388800.339002205,  -376.0590178777422,  -213.7313839043427,    3.98846754148482,    4.33792829728613, -0.1663327151968925,   1.212264949852821, 0.03118047911952012,    68.0730882922563,        13943.509555,   8764.409554999997,   222618.2883251549
                 1.5,   120.8935170411867,   22.13891720883925,   109.8153067445382,   88.75335869087053,   82.24175817954016,   432.6794827743822,  -3035414.109150197,   5071850.758599856,    2388800.74953883,  -376.4298397155785,  -213.2938877249751,   4.222326938616528,    4.38868991903766, -0.1682646770889619,   1.212138850775191, 0.03301137012549259,   76.29238512882469,        13934.620555,   8755.520554999996,   222621.6065449108
                 1.6,   120.8935185550697,   22.13891723955912,   110.9584159720689,   88.74782090498942,   82.19630439568844,   432.7892122843788,  -3035451.770696458,   5071829.451117622,    2388801.18347998,  -376.8011703855579,  -212.8556303147583,   4.456557989496816,   4.433418932190239, -0.1699657449912117,   1.212005580475598, 0.03484525027863761,   84.99283135463588,        13925.731555,   8746.631554999996,   222625.1133828073
                 1.7,   120.8935201595134,   22.13891727225232,   112.1631910149008,   88.74295352894211,   82.15585551537599,   432.8998780393019,  -3035489.469401262,   5071808.187499139,   2388801.640862811,  -377.1730107400701,  -212.4166127884569,   4.691160537883869,   4.472973740122943, -0.1714688155681214,   1.211865129241609, 0.03668211830729008,   94.17633354725396,        13916.842555,   8737.742554999997,   222628.8090797712
                 1.8,   120.8935218545523,   22.13891730691787,   113.4297306891531,   88.73865084798003,   82.11969428377419,   433.0114860051972,  -3035527.205315654,   5071786.967820343,   2388802.121724465,  -377.5453625915446,  -211.9768369362994,   4.926134440888017,   4.508050856572808,  -0.172800575645515,    1.21171748746893, 0.03852197402109116,   103.8447836224378,        13907.953555,   8728.853554999998,    222632.693873065
                 1.9,   120.8935236402237,   22.13891734355493,   114.7581337578595,   88.73482762308235,   82.08722873390741,   433.1240429590614,  -3035564.978490908,   5071765.792156954,   2388802.626102075,   -377.918228423967,  -211.5363050230397,   5.161479564299906,   4.539220461168917, -0.1739828673646548,   1.211562645663303, 0.04036481806087716,    114.000058597771,        13899.064555,   8719.964554999999,   222636.7679962338
                   2,   120.8935255165684,   22.13891738216272,   116.1484989048913,   88.73141435544755,   82.05796594825006,   433.2375563291812,  -3035602.788978569,   5071744.660584454,   2388803.154032752,  -378.2916112618275,  -211.0950196966237,   5.397195780486255,   4.566952829669009, -0.1750337027195485,   1.211400594441439, 0.04221065172944594,   124.6440204529069,        13890.175555,   8711.075554999999,   222641.0316790768
                 2.1,   120.8935274836311,   22.13891742274067,   117.6009247368202,   88.72835374388875,   82.03149160679362,   433.3520342153624,  -3035640.636830512,   5071723.573178031,   2388803.705553598,  -378.6655146873526,  -210.6529840001074,   5.633282968697892,   4.591638920674654, -0.1759680534863289,   1.211231324533672, 0.04405947689711495,   135.7785161933586,        13881.286555,         8702.186555,   222645.4851475745
                 2.2,   120.8935295414616,   22.13891746528838,   119.1155097931623,   88.72559805674938,   82.00745439517453,   433.4674854065617,  -3035678.522098998,   5071702.530012556,   2388804.280701708,  -379.0399428556149,  -210.2102013821234,    5.86974101533599,   4.613606091702399, -0.1767984541161186,   1.211054826781623, 0.04591129593029804,   147.4053779183895,        13872.397555,   8693.297555000001,   222650.1286239464
                 2.3,   120.8935316901151,   22.13891750980564,   120.6923525212333,   88.72310715464785,   81.98555397935145,   433.5839193959037,  -3035716.444836732,   5071681.531162529,   2388804.879514162,  -379.4149005075065,   -209.766675705883,   6.106569814174766,   4.633130241562629, -0.1775354674216943,   1.210871092143025, 0.04776611163674571,   159.5264228930508,        13863.508555,   8684.408555000002,   222654.9623265213
                 2.4,    120.893533929653,   22.13891755629243,   122.3315512873232,   88.72084698372969,    81.9655316324351,   433.7013463930447,  -3035754.405096928,   5071660.576702045,   2388805.502028028,  -379.7903929805405,  -209.3224112567006,   6.343769266538672,   4.650445295587905, -0.1781880482836231,   1.210680111689822, 0.04962392722300515,   172.1434536213615,        13854.619555,   8675.519555000003,   222659.9864697835
                 2.5,   120.8935362601434,   22.13891760474902,   124.0332043571398,   88.71878841412305,   81.94716285765872,   433.8197773338675,  -3035792.402933356,   5071639.666704751,   2388806.148280367,  -380.1664262174647,  -208.8774127480278,   6.581339281432387,   4.665750691062267, -0.1787638306135604,   1.210481876610709, 0.05148474626086622,   185.2582579206214,        13845.730555,   8666.630555000003,   222665.2012643029
                 2.6,   120.8935386816624,   22.13891765517594,   125.7974099032581,   88.71690633499394,    81.9302515306222,   433.9392238874842,  -3035830.438400415,   5071618.801243793,    2388806.81830823,  -380.5430067726659,  -208.4316853259904,   6.819279775621951,   4.679217340500416, -0.1792693559208579,   1.210276378211937, 0.05334857266047929,   198.8726089947456,        13836.841555,   8657.741555000004,   222670.6069167108
                 2.7,    120.893541194294,   22.13891770757402,   127.6242659976706,   88.71517894268131,   81.91462520978654,   434.0596984605426,  -3035868.511553193,   5071597.980391791,   2388807.512148662,  -380.9201418163573,  -207.9852345724244,   7.057590673665553,   4.690992424223465, -0.1797102569733856,   1.210063607917567,  0.0552154106484314,   212.9882655053699,   13827.95255500001,   8648.852555000005,   222676.2036296899
                 2.8,   120.8935437981317,   22.13891776194441,   129.5138706099242,   88.71358717575005,   81.90013135390473,   434.1812141988295,  -3035906.622447521,   5071577.204220786,   2388808.229838705,  -381.2978391365418,   -207.538066506412,   7.296271907892659,   4.701203273721561,  -0.180091406591894,   1.209843557271146, 0.05708526474949226,   227.6069716396611,   13819.06355500001,   8639.963555000006,   222681.9916019272
                 2.9,   120.8935464932785,   22.13891781828863,   131.4663215866312,   88.71211426301775,   81.88663424975925,   434.3037849861887,  -3035944.771140043,   5071556.472802187,   2388808.971415385,  -381.6761071387616,  -207.0901875843262,   7.535323418330409,   4.709960542447972, -0.1804170391184712,   1.209616217937362, 0.05895813977109843,     242.73045717347,   13810.17455500001,   8631.074555000007,   222687.9710280672
                   3,   120.8935492798481,   22.13891787660854,   133.4817166626453,    88.7107453592612,    81.8740125007913,     434.42742544077,  -3035982.957688275,    5071535.78620674,   2388809.736915731,  -382.0549548436455,  -206.6416046983963,   7.774745152576394,   4.717360813352704, -0.1806908502926123,   1.209381581702303, 0.06083404078985194,   258.3604375281648,   13801.28555500001,   8622.185555000007,   222694.1420987025
                 3.1,   120.8935521579653,   22.13891793690645,   135.5601534442976,    88.7094672495794,   81.86215696203791,   434.5521509086398,  -3036021.182150662,   5071515.144504474,   2388810.526376759,  -382.4343918822757,  -206.1923251738121,   8.014537065617544,   4.723488757568076, -0.1809160799230402,    1.20913964047544, 0.06271297313947657,   274.4986138205541,   13792.39655500001,   8613.296555000008,   222700.5050003184
                 3.2,   120.8935551277672,   22.13891799918505,   137.7017294084653,   88.70826810797716,   81.85096903271187,   434.6779774547998,  -3036059.444586637,   5071494.547764669,   2388811.339835485,  -382.8144284894095,  -205.7423567643938,    8.25469911959471,   4.728418932676306, -0.1810955807466069,   1.208890386289654,  0.0645949423998354,   291.1466729039796,   13783.50755500001,   8604.407555000009,   222707.0599152892
                 3.3,   120.8935581894033,   22.13891806344751,   139.9065419118851,   88.70713729911132,   81.84035923730171,   434.8049218516633,  -3036097.745056704,   5071473.996055812,    2388812.17732892,  -383.1950754945956,   -205.291707646855,    8.49523128351324,   4.732217289429864, -0.1812318761117861,    1.20863381130181, 0.06647995438669119,   308.3062874000391,   13774.61855500001,    8595.51855500001,   222713.8070218606
                 3.4,   120.8935613430366,   22.13891812969749,   142.1746881622821,   88.70606521456639,   81.83024604084316,   434.9330015650555,  -3036136.083622463,   5071453.489445544,   2388813.038894079,  -383.5763443112344,  -204.8403864136983,   8.736133532899997,   4.734942440990634, -0.1813272085691155,   1.208369907795489, 0.06836801514193259,   325.9791157201669,   13765.72955500001,    8586.62955500001,   222720.7464940745
